[2026-06-11T22:20:34.495Z] GET http://localhost:8799/index.html → 200 (2ms, 547B)
[2026-06-11T22:20:34.502Z] GET http://localhost:8799/fonts.css → 200 (1ms, 7937B)
[2026-06-11T22:20:34.502Z] GET http://localhost:8799/app.css → 200 (1ms, 56432B)
[2026-06-11T22:20:34.502Z] GET http://localhost:8799/vendor/react.production.min.js → 200 (2ms, 10751B)
[2026-06-11T22:20:34.502Z] GET http://localhost:8799/vendor/react-dom.production.min.js → 200 (2ms, 131835B)
[2026-06-11T22:20:34.502Z] GET http://localhost:8799/config.js → 200 (2ms, 805B)
[2026-06-11T22:20:34.502Z] GET http://localhost:8799/app.bundle.js → 200 (3ms, 191829B)
[2026-06-11T22:20:34.506Z] GET https://cdn.jsdelivr.net/gh/openfootball/worldcup.json@master/2026/worldcup.json → 200 (84ms, 19957B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/BarlowCondensed-800-23.woff2 → 200 (3ms, 22464B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/Barlow-600-8.woff2 → 200 (3ms, 22772B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/Barlow-700-11.woff2 → 200 (5ms, 22788B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/Barlow-500-5.woff2 → 200 (5ms, 22008B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/Barlow-800-14.woff2 → 200 (5ms, 22976B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/BarlowCondensed-700-20.woff2 → 200 (5ms, 22444B)
[2026-06-11T22:20:34.532Z] GET http://localhost:8799/fonts/Barlow-400-2.woff2 → 200 (5ms, 22196B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/ar/w80.png → 200 (7ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/es/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/fr/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/gb-eng/w80.png → 200 (7ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/pt/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/br/w80.png → 200 (7ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/ma/w80.png → pending (?ms, ?B)
[2026-06-11T22:20:35.213Z] GET http://localhost:8799/flags/nl/w80.png → pending (?ms, ?B)
